node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-330,m3-338,0x0000006f26,1,3,51,2018-05-23 11:29:17.523674
m3-321,m3-330,0x0000006f27,2,2,51,2018-05-23 11:29:17.536052
m3-314,m3-318,0x0000006fd8,1,1,51,2018-05-23 11:29:20.18957
m3-330,m3-346,0x000000709e,6,0,51,2018-05-23 11:29:23.152169
m3-309,m3-330,0x0000007176,1,3,51,2018-05-23 11:29:26.382367
m3-330,m3-338,0x000000717b,1,3,51,2018-05-23 11:29:26.469218
m3-321,m3-330,0x000000717c,2,2,51,2018-05-23 11:29:26.472991
m3-338,m3-346,0x0000007302,1,3,51,2018-05-23 11:29:32.309136
m3-330,m3-338,0x00000073d0,1,3,51,2018-05-23 11:29:35.398611
m3-309,m3-330,0x0000007492,1,3,51,2018-05-23 11:29:38.319002
m3-338,m3-346,0x0000007494,1,3,51,2018-05-23 11:29:38.340324
m3-346,m3-358,0x0000007498,1,2,51,2018-05-23 11:29:38.406341
m3-346,m3-358,0x000000755f,1,2,51,2018-05-23 11:29:41.379606
m3-321,m3-330,0x00000077b4,2,2,51,2018-05-23 11:29:50.326251
m3-314,m3-301,0x000000780a,6,0,51,2018-05-23 11:29:51.615601
m3-330,m3-346,0x0000007845,6,0,51,2018-05-23 11:29:52.597437
m3-330,m3-338,0x000000787a,1,3,51,2018-05-23 11:29:53.318582
m3-321,m3-330,0x000000787a,1,1,51,2018-05-23 11:29:53.319874
m3-346,m3-358,0x000000787b,2,2,51,2018-05-23 11:29:53.455225
m3-309,m3-330,0x000000793c,1,3,51,2018-05-23 11:29:56.206148
m3-330,m3-338,0x0000007941,1,3,51,2018-05-23 11:29:56.276719
m3-346,m3-358,0x0000007942,2,2,51,2018-05-23 11:29:56.289741
m3-330,m3-338,0x0000007a08,1,3,51,2018-05-23 11:29:59.250922
m3-338,m3-346,0x0000007b93,1,3,51,2018-05-23 11:30:05.172153
m3-338,m3-346,0x0000007d21,1,3,51,2018-05-23 11:30:11.138304
m3-321,m3-330,0x0000007d24,1,1,51,2018-05-23 11:30:11.198635
m3-309,m3-330,0x0000007de6,1,3,51,2018-05-23 11:30:14.104809
m3-330,m3-338,0x0000007deb,1,3,51,2018-05-23 11:30:14.166995
m3-338,m3-346,0x0000007eaf,1,3,51,2018-05-23 11:30:17.102514
m3-309,m3-330,0x0000007f74,1,3,51,2018-05-23 11:30:20.046817
m3-338,m3-346,0x0000007f76,1,3,51,2018-05-23 11:30:20.075877
m3-330,m3-338,0x0000008107,1,3,51,2018-05-23 11:30:26.092985
m3-321,m3-330,0x0000008295,1,1,51,2018-05-23 11:30:32.043736
m3-338,m3-346,0x0000008359,1,3,51,2018-05-23 11:30:34.994347
m3-330,m3-338,0x000000835c,1,3,51,2018-05-23 11:30:35.035074
m3-338,m3-346,0x0000008420,1,3,51,2018-05-23 11:30:37.974413
m3-338,m3-346,0x00000085ae,1,2,51,2018-05-23 11:30:43.938593
m3-346,m3-358,0x00000085b2,1,2,51,2018-05-23 11:30:43.999032
m3-338,m3-346,0x0000008675,1,2,51,2018-05-23 11:30:46.919199
m3-346,m3-358,0x0000008740,1,2,51,2018-05-23 11:30:49.964743
m3-309,m3-330,0x0000008801,1,3,51,2018-05-23 11:30:52.86351
m3-309,m3-330,0x00000088c8,1,1,51,2018-05-23 11:30:55.833882
m3-330,m3-338,0x0000008a5b,1,3,51,2018-05-23 11:31:01.865206
m3-338,m3-346,0x0000008f02,1,3,51,2018-05-23 11:31:19.767652
m3-330,m3-338,0x0000008f05,1,3,51,2018-05-23 11:31:19.781089
m3-338,m3-346,0x0000009157,1,3,51,2018-05-23 11:31:28.660379
m3-338,m3-346,0x000000921e,1,2,51,2018-05-23 11:31:31.669203
m3-346,m3-358,0x0000009222,1,1,51,2018-05-23 11:31:31.689865
m3-330,m3-338,0x00000092e8,1,3,51,2018-05-23 11:31:34.670937
m3-346,m3-358,0x00000093b1,2,2,51,2018-05-23 11:31:37.718036
m3-330,m3-338,0x0000009476,1,3,51,2018-05-23 11:31:40.62838
