sender,asn,asn_in,seqnum,time
m3-212,0x000008b427,0x000008b411,449,2018-02-13 14:55:49.981468
m3-236,0x000008b432,0x000008b418,449,2018-02-13 14:55:50.149083
m3-240,0x000008b465,0x000008b28a,445,2018-02-13 14:55:50.904735
m3-224,0x000008b49d,0x000008b3ff,446,2018-02-13 14:55:51.759308
m3-253,0x000008b4ee,0x000008b4b8,446,2018-02-13 14:55:52.963664
m3-209,0x000008b530,0x000008b4d7,449,2018-02-13 14:55:53.959756
m3-244,0x000008b5b5,0x000008b585,443,2018-02-13 14:55:55.943378
m3-248,0x000008b5c0,0x000008b57a,443,2018-02-13 14:55:56.111347
m3-221,0x000008b5e2,0x000008b573,448,2018-02-13 14:55:56.612684
m3-252,0x000008b626,0x000008b565,442,2018-02-13 14:55:57.63117
m3-225,0x000008b647,0x000008b62c,449,2018-02-13 14:55:58.123728
m3-213,0x000008b6a9,0x000008b663,439,2018-02-13 14:55:59.597011
m3-245,0x000008b6ba,0x000008b608,446,2018-02-13 14:55:59.850376
m3-252,0x000008b6eb,0x000008b565,442,2018-02-13 14:56:00.57943
m3-237,0x000008b70e,0x000008b640,446,2018-02-13 14:56:01.103315
m3-232,0x000008b767,0x000008b6d4,441,2018-02-13 14:56:02.491321
m3-217,0x000008b775,0x000008b767,448,2018-02-13 14:56:02.680238
m3-228,0x000008b781,0x000008b706,445,2018-02-13 14:56:02.824919
m3-229,0x000008b78c,0x000008b719,443,2018-02-13 14:56:03.022804
m3-241,0x000008b7a1,0x000008b743,445,2018-02-13 14:56:03.309186
m3-208,0x000008b7ce,0x000008b765,450,2018-02-13 14:56:04.001323
m3-236,0x000008b815,0x000008b802,450,2018-02-13 14:56:05.070693
m3-212,0x000008b832,0x000008b829,450,2018-02-13 14:56:05.47506
m3-212,0x000008b83d,0x000008b829,450,2018-02-13 14:56:05.67242
m3-240,0x000008b848,0x000008b790,446,2018-02-13 14:56:05.811323
m3-224,0x000008b880,0x000008b822,447,2018-02-13 14:56:06.659131
m3-216,0x000008b895,0x000008b78b,446,2018-02-13 14:56:06.97942
m3-220,0x000008b8b4,0x000008b80d,447,2018-02-13 14:56:07.439102
m3-249,0x000008b914,0x000008b837,440,2018-02-13 14:56:08.875568
m3-209,0x000008b91a,0x000008b8fe,450,2018-02-13 14:56:08.955198
m3-244,0x000008b998,0x000008b95c,444,2018-02-13 14:56:10.846679
m3-244,0x000008b9a1,0x000008b95c,444,2018-02-13 14:56:10.981566
m3-233,0x000008b9bc,0x000008b8d6,445,2018-02-13 14:56:11.3877
m3-248,0x000008ba6a,0x000008b9af,444,2018-02-13 14:56:14.019447
m3-253,0x000008bb26,0x000008ba3d,447,2018-02-13 14:56:16.829792
m3-225,0x000008bb4a,0x000008bb3b,450,2018-02-13 14:56:17.363679
m3-221,0x000008bb53,0x000008ba7f,449,2018-02-13 14:56:17.49136
m3-228,0x000008bb64,0x000008bb56,446,2018-02-13 14:56:17.744656
m3-252,0x000008bb95,0x000008bb6c,443,2018-02-13 14:56:18.460951
m3-213,0x000008bba9,0x000008bb9e,440,2018-02-13 14:56:18.786318
m3-208,0x000008bbb1,0x000008bb45,451,2018-02-13 14:56:18.910704
m3-237,0x000008bbed,0x000008bae2,447,2018-02-13 14:56:19.801644
m3-232,0x000008bc11,0x000008bc0c,442,2018-02-13 14:56:20.338973
m3-240,0x000008bc2b,0x000008bba8,447,2018-02-13 14:56:20.718101
m3-240,0x000008bc2f,0x000008bba8,447,2018-02-13 14:56:20.838215
m3-229,0x000008bc36,0x000008bb8a,444,2018-02-13 14:56:20.911078
m3-241,0x000008bcf2,0x000008bc28,446,2018-02-13 14:56:23.69906
m3-245,0x000008bcf6,0x000008bc24,447,2018-02-13 14:56:23.774528
m3-212,0x000008bd7b,0x000008bd79,451,2018-02-13 14:56:25.775676
m3-217,0x000008bdad,0x000008bca0,449,2018-02-13 14:56:26.529094
m3-236,0x000008bdb9,0x000008bd9b,451,2018-02-13 14:56:26.684168
m3-209,0x000008bdbe,0x000008bda6,451,2018-02-13 14:56:26.765811
m3-249,0x000008bdd9,0x000008bcf8,441,2018-02-13 14:56:27.167812
m3-224,0x000008bdf1,0x000008bd59,448,2018-02-13 14:56:27.531811
m3-216,0x000008be06,0x000008bd43,447,2018-02-13 14:56:27.852107
m3-220,0x000008be25,0x000008bdeb,448,2018-02-13 14:56:28.315306
m3-248,0x000008be4d,0x000008bd89,445,2018-02-13 14:56:28.917929
m3-244,0x000008be84,0x000008be64,445,2018-02-13 14:56:29.737815
m3-233,0x000008bf2d,0x000008bddf,446,2018-02-13 14:56:32.263007
m3-233,0x000008bf31,0x000008bddf,446,2018-02-13 14:56:32.334768
m3-252,0x000008bf78,0x000008bf46,444,2018-02-13 14:56:33.377233
m3-208,0x000008bfbc,0x000008bfb4,452,2018-02-13 14:56:34.415233
m3-253,0x000008c097,0x000008bf1a,448,2018-02-13 14:56:37.686113
m3-232,0x000008c0bb,0x000008c064,443,2018-02-13 14:56:38.228146
m3-225,0x000008c0d5,0x000008c0c8,451,2018-02-13 14:56:38.659136
m3-237,0x000008c129,0x000008c055,448,2018-02-13 14:56:39.891393
m3-212,0x000008c182,0x000008c171,452,2018-02-13 14:56:41.202453
m3-232,0x000008c186,0x000008c064,443,2018-02-13 14:56:41.286695
m3-213,0x000008c18b,0x000008c17c,441,2018-02-13 14:56:41.399659
m3-217,0x000008c190,0x000008c156,450,2018-02-13 14:56:41.532459
m3-228,0x000008c19c,0x000008c13a,447,2018-02-13 14:56:41.604633
m3-245,0x000008c1a7,0x000008c15d,448,2018-02-13 14:56:41.766297
m3-221,0x000008c1e1,0x000008c09a,450,2018-02-13 14:56:42.641926
m3-217,0x000008c257,0x000008c156,450,2018-02-13 14:56:44.436006
m3-240,0x000008c263,0x000008c17c,448,2018-02-13 14:56:44.580698
m3-240,0x000008c267,0x000008c17c,448,2018-02-13 14:56:44.675021
m3-236,0x000008c26e,0x000008c232,452,2018-02-13 14:56:44.809127
m3-229,0x000008c283,0x000008c1a8,445,2018-02-13 14:56:45.04541
m3-249,0x000008c285,0x000008c1e1,442,2018-02-13 14:56:45.107674
m3-241,0x000008c288,0x000008c1e0,447,2018-02-13 14:56:45.237205
m3-220,0x000008c2cf,0x000008c1e6,449,2018-02-13 14:56:46.201237
m3-224,0x000008c362,0x000008c2bd,449,2018-02-13 14:56:48.410529
m3-216,0x000008c377,0x000008c259,448,2018-02-13 14:56:48.733557
m3-248,0x000008c3f1,0x000008c302,446,2018-02-13 14:56:50.603169
m3-209,0x000008c3f5,0x000008c336,452,2018-02-13 14:56:50.677373
m3-244,0x000008c411,0x000008c3f6,446,2018-02-13 14:56:51.029815
m3-244,0x000008c47a,0x000008c3f6,446,2018-02-13 14:56:52.613536
m3-233,0x000008c565,0x000008c35d,447,2018-02-13 14:56:56.116621
m3-252,0x000008c5b0,0x000008c53b,445,2018-02-13 14:56:57.249329
m3-208,0x000008c5cc,0x000008c593,453,2018-02-13 14:56:57.673568
m3-253,0x000008c608,0x000008c489,449,2018-02-13 14:56:58.559791
m3-253,0x000008c60f,0x000008c489,449,2018-02-13 14:56:58.656999
m3-232,0x000008c62c,0x000008c5e9,444,2018-02-13 14:56:59.085481
m3-217,0x000008c63a,0x000008c5d2,451,2018-02-13 14:56:59.326002
m3-245,0x000008c646,0x000008c5f4,449,2018-02-13 14:56:59.479026
m3-213,0x000008c68b,0x000008c656,442,2018-02-13 14:57:00.52047
m3-225,0x000008c69a,0x000008c656,452,2018-02-13 14:57:00.737894
m3-220,0x000008c6b2,0x000008c5c9,450,2018-02-13 14:57:01.106676
m3-212,0x000008c6cf,0x000008c6a4,453,2018-02-13 14:57:01.558852
m3-228,0x000008c70d,0x000008c6c8,448,2018-02-13 14:57:02.464361
m3-249,0x000008c711,0x000008c5fc,443,2018-02-13 14:57:02.559163
m3-240,0x000008c72d,0x000008c684,449,2018-02-13 14:57:02.951892
m3-241,0x000008c73e,0x000008c629,448,2018-02-13 14:57:03.192014
m3-216,0x000008c75a,0x000008c632,449,2018-02-13 14:57:03.648788
m3-237,0x000008c796,0x000008c682,449,2018-02-13 14:57:04.52308
m3-221,0x000008c7c3,0x000008c6ee,451,2018-02-13 14:57:05.204111
m3-209,0x000008c7d9,0x000008c740,453,2018-02-13 14:57:05.518925
m3-224,0x000008c80c,0x000008c78d,450,2018-02-13 14:57:06.294788
