node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-301,m3-321,0x000000985c,32,2206,1550,2018-05-11 00:44:07.630042
m3-305,m3-318,0x0000009bec,32,65535,1437,2018-05-11 00:44:21.260703
m3-305,m3-313,0x000000a372,32,65535,1550,2018-05-11 00:44:50.346277
m3-305,m3-310,0x000000a372,32,65535,1693,2018-05-11 00:44:50.420901
m3-329,m3-346,0x000000abb3,32,1623,1031,2018-05-11 00:45:21.861207
m3-317,m3-329,0x000000b012,32,2511,1399,2018-05-11 00:45:38.595326
m3-301,m3-313,0x000000b330,32,65535,1550,2018-05-11 00:45:50.461506
m3-305,m3-317,0x000000b4bc,32,65535,1918,2018-05-11 00:45:56.396417
m3-321,m3-342,0x000000b64a,32,2816,1287,2018-05-11 00:46:02.456055
m3-299,m3-313,0x000000b742,32,65535,1550,2018-05-11 00:46:06.269754
m3-335,m3-346,0x000000be5c,32,1765,1031,2018-05-11 00:46:33.369117
m3-299,m3-301,0x000000c177,32,65535,2069,2018-05-11 00:46:45.222242
m3-329,m3-342,0x000000c42f,32,2335,1287,2018-05-11 00:46:55.743681
m3-339,m3-358,0x000000c4f6,32,1381,775,2018-05-11 00:46:58.801646
m3-301,m3-321,0x000000c50f,32,5127,1806,2018-05-11 00:46:59.120906
m3-314,m3-343,0x000000cc06,32,65535,1371,2018-05-11 00:47:25.762823
m3-313,m3-325,0x000000cc6d,32,65535,1764,2018-05-11 00:47:27.375307
m3-302,m3-306,0x000000d092,32,65535,1902,2018-05-11 00:47:43.362748
m3-322,m3-346,0x000000d278,32,1724,1162,2018-05-11 00:47:50.52384
m3-314,m3-313,0x000000d3a9,32,65535,1550,2018-05-11 00:47:55.200871
m3-314,m3-325,0x000000d3a9,32,65535,1764,2018-05-11 00:47:55.274989
m3-322,m3-342,0x000000d412,32,65535,1287,2018-05-11 00:47:56.657343
m3-322,m3-339,0x000000d412,32,65535,1294,2018-05-11 00:47:56.723448
m3-313,m3-314,0x000000d414,32,65535,1874,2018-05-11 00:47:56.842409
m3-313,m3-302,0x000000d414,32,65535,2069,2018-05-11 00:47:56.914197
m3-313,m3-318,0x000000daba,32,65535,1729,2018-05-11 00:48:22.136637
m3-342,m3-358,0x000000db9a,32,4310,775,2018-05-11 00:48:25.53256
m3-335,m3-351,0x000000db9a,32,31525,1068,2018-05-11 00:48:25.58216
m3-306,m3-318,0x000000deb6,32,2534,1729,2018-05-11 00:48:37.531462
m3-305,m3-318,0x000000deb6,32,2355,1729,2018-05-11 00:48:37.559148
m3-329,m3-346,0x000000dee8,32,1597,1031,2018-05-11 00:48:38.259718
m3-301,m3-314,0x000000df32,32,3585,1890,2018-05-11 00:48:39.33732
m3-314,m3-326,0x000000e2f0,32,65535,1806,2018-05-11 00:48:53.642322
m3-314,m3-317,0x000000e2f0,32,65535,1918,2018-05-11 00:48:53.778983
m3-339,m3-346,0x000000e4d5,32,14656,1031,2018-05-11 00:49:00.964532
m3-329,m3-335,0x000000ea2d,32,6912,1324,2018-05-11 00:49:21.405033
m3-317,m3-339,0x000000f12c,32,1900,1294,2018-05-11 00:49:48.301746
m3-301,m3-310,0x000000f88f,32,2818,2110,2018-05-11 00:50:16.628894
m3-314,m3-342,0x0000010371,32,3598,1386,2018-05-11 00:50:58.376592
m3-302,m3-321,0x000001053c,32,65535,7908,2018-05-11 00:51:05.208735
m3-302,m3-310,0x000001053c,32,65535,7991,2018-05-11 00:51:05.332947
m3-335,m3-346,0x000001081b,32,2816,1066,2018-05-11 00:51:16.283032
m3-302,m3-305,0x0000010cc2,32,65535,8129,2018-05-11 00:51:34.23339
m3-317,m3-334,0x0000010e16,32,65535,1361,2018-05-11 00:51:39.27498
m3-317,m3-325,0x0000010e16,32,65535,1617,2018-05-11 00:51:39.344877
m3-302,m3-301,0x0000011b58,32,65535,8189,2018-05-11 00:52:30.0105
m3-318,m3-342,0x0000011e8d,32,4383,1068,2018-05-11 00:52:42.418881
m3-329,m3-346,0x0000011fe9,32,3121,1031,2018-05-11 00:52:47.581687
m3-325,m3-342,0x00000124de,32,2021,1251,2018-05-11 00:53:06.601778
m3-329,m3-342,0x000001250f,32,65535,1251,2018-05-11 00:53:07.251326
m3-310,m3-330,0x0000012a04,32,27948,1722,2018-05-11 00:53:26.341423
m3-326,m3-346,0x0000012db5,32,7431,1031,2018-05-11 00:53:40.463479
m3-310,m3-322,0x0000012e63,32,2236,1580,2018-05-11 00:53:43.133778
m3-314,m3-338,0x0000012f51,32,65535,1515,2018-05-11 00:53:46.829012
m3-314,m3-318,0x0000012f51,32,65535,1587,2018-05-11 00:53:46.917109
m3-318,m3-339,0x0000013214,32,65535,1287,2018-05-11 00:53:57.373597
m3-317,m3-339,0x00000133a3,32,7722,1287,2018-05-11 00:54:03.182412
m3-314,m3-329,0x00000136f4,32,65535,1770,2018-05-11 00:54:15.892783
m3-305,m3-322,0x000001384d,32,5027,1580,2018-05-11 00:54:21.139309
m3-325,m3-346,0x0000013b77,32,65535,1031,2018-05-11 00:54:33.391175
m3-334,m3-358,0x0000013e21,32,3356,775,2018-05-11 00:54:43.488243
m3-326,m3-347,0x0000013e97,32,65535,1175,2018-05-11 00:54:45.335551
m3-313,m3-339,0x0000013f39,32,65535,7168,2018-05-11 00:54:47.743121
m3-313,m3-322,0x0000013f3a,32,65535,7461,2018-05-11 00:54:47.813481
m3-335,m3-347,0x00000140c1,32,2567,1031,2018-05-11 00:54:53.597136
m3-339,m3-358,0x00000140c1,32,2021,775,2018-05-11 00:54:53.616574
m3-322,m3-346,0x0000014188,32,2368,1031,2018-05-11 00:54:56.522827
m3-302,m3-321,0x00000141eb,32,2085,1361,2018-05-11 00:54:58.046452
