node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-330,m3-346,0x0000005898,1,1,41,2018-05-17 10:30:27.153118
m3-338,m3-346,0x000000589d,1,1,41,2018-05-17 10:30:27.259395
m3-299,m3-298,0x000000594d,1,1,41,2018-05-17 10:30:29.872993
m3-298,m3-314,0x0000005a1d,1,1,41,2018-05-17 10:30:32.983775
m3-346,m3-358,0x0000005a2a,1,1,41,2018-05-17 10:30:33.4045
m3-298,m3-314,0x0000005ae4,1,1,41,2018-05-17 10:30:35.954948
m3-298,m3-314,0x0000005bab,1,1,41,2018-05-17 10:30:38.954265
m3-302,m3-309,0x0000005c69,1,3,41,2018-05-17 10:30:41.819381
m3-309,m3-302,0x0000005c6d,1,3,41,2018-05-17 10:30:41.870896
m3-298,m3-314,0x0000005c72,6,0,41,2018-05-17 10:30:41.939362
m3-302,m3-309,0x0000005d30,1,3,41,2018-05-17 10:30:44.772808
m3-309,m3-302,0x0000005d34,6,0,41,2018-05-17 10:30:44.867216
m3-309,m3-302,0x0000005dfb,6,0,41,2018-05-17 10:30:47.813374
m3-314,m3-338,0x0000005e00,1,3,41,2018-05-17 10:30:47.890964
m3-299,m3-317,0x0000005e51,6,0,41,2018-05-17 10:30:49.107385
m3-310,m3-298,0x0000005ef1,6,0,41,2018-05-17 10:30:51.496864
m3-302,m3-309,0x0000005f85,1,3,41,2018-05-17 10:30:53.715345
m3-298,m3-314,0x0000005f8e,6,0,41,2018-05-17 10:30:53.839505
m3-325,m3-338,0x0000006023,6,0,41,2018-05-17 10:30:56.09731
m3-298,m3-314,0x0000006055,6,0,41,2018-05-17 10:30:56.833694
m3-302,m3-309,0x0000006113,6,0,41,2018-05-17 10:30:59.780388
m3-309,m3-302,0x0000006117,1,3,41,2018-05-17 10:30:59.798471
m3-309,m3-302,0x00000061de,1,3,41,2018-05-17 10:31:02.743208
m3-338,m3-346,0x00000061f2,2,2,41,2018-05-17 10:31:03.246762
m3-313,m3-346,0x00000062a1,1,1,41,2018-05-17 10:31:05.654288
m3-314,m3-338,0x00000062aa,1,3,41,2018-05-17 10:31:05.790058
m3-298,m3-314,0x00000062aa,6,0,41,2018-05-17 10:31:05.796733
m3-325,m3-329,0x00000062b2,1,3,41,2018-05-17 10:31:05.937458
m3-330,m3-346,0x00000062b3,1,1,41,2018-05-17 10:31:05.947198
m3-346,m3-358,0x00000062b7,2,2,41,2018-05-17 10:31:06.012093
m3-302,m3-309,0x0000006368,6,0,41,2018-05-17 10:31:08.628965
m3-298,m3-314,0x0000006371,6,0,41,2018-05-17 10:31:08.760033
m3-329,m3-338,0x000000637d,1,3,41,2018-05-17 10:31:08.97508
m3-325,m3-329,0x000000637d,1,3,41,2018-05-17 10:31:08.976044
m3-346,m3-358,0x000000637e,2,2,41,2018-05-17 10:31:09.002017
m3-313,m3-346,0x000000642f,1,1,41,2018-05-17 10:31:11.652823
m3-305,m3-330,0x000000642f,1,1,41,2018-05-17 10:31:11.661178
m3-305,m3-330,0x00000064f6,1,1,41,2018-05-17 10:31:14.58878
m3-325,m3-329,0x000000650b,1,3,41,2018-05-17 10:31:14.903163
m3-299,m3-317,0x00000065b9,6,0,41,2018-05-17 10:31:17.512524
m3-309,m3-302,0x00000065c1,1,3,41,2018-05-17 10:31:17.632597
m3-310,m3-298,0x0000006667,6,0,41,2018-05-17 10:31:20.118092
m3-313,m3-346,0x0000006684,1,1,41,2018-05-17 10:31:20.593129
m3-305,m3-330,0x0000006684,1,1,41,2018-05-17 10:31:20.602252
m3-309,m3-302,0x0000006688,1,3,41,2018-05-17 10:31:20.649615
m3-309,m3-302,0x000000674f,1,3,41,2018-05-17 10:31:23.600817
m3-325,m3-338,0x00000067b3,6,0,41,2018-05-17 10:31:25.088709
m3-313,m3-346,0x0000006812,1,1,41,2018-05-17 10:31:26.525308
m3-302,m3-309,0x0000006812,6,0,41,2018-05-17 10:31:26.534725
m3-298,m3-314,0x000000681b,6,0,41,2018-05-17 10:31:26.652784
m3-330,m3-346,0x00000068eb,1,1,41,2018-05-17 10:31:29.818075
m3-302,m3-309,0x00000069a0,6,0,41,2018-05-17 10:31:32.491299
m3-305,m3-314,0x00000069a0,1,1,41,2018-05-17 10:31:32.500058
m3-329,m3-338,0x00000069b5,1,3,41,2018-05-17 10:31:32.779756
m3-298,m3-314,0x0000006a67,1,3,41,2018-05-17 10:31:35.462359
m3-329,m3-338,0x0000006a7c,1,3,41,2018-05-17 10:31:35.776498
