node,new_parent,asn,time
m3-237,m3-252,0x0000008cc7,2018-02-20 10:25:08.082374
m3-245,m3-252,0x0000008dcd,2018-02-20 10:25:11.833954
m3-245,m3-249,0x0000008dcd,2018-02-20 10:25:11.909153
m3-253,m3-244,0x0000008f08,2018-02-20 10:25:16.603291
m3-237,m3-229,0x000000912c,2018-02-20 10:25:24.748197
m3-260,m3-264,0x0000009145,2018-02-20 10:25:25.151867
m3-248,m3-228,0x000000918f,2018-02-20 10:25:26.231568
m3-240,m3-228,0x00000091c1,2018-02-20 10:25:27.004431
m3-265,m3-264,0x00000096b6,2018-02-20 10:25:46.084879
m3-233,m3-220,0x00000098eb,2018-02-20 10:25:54.55822
m3-233,m3-225,0x00000098eb,2018-02-20 10:25:54.636135
m3-261,m3-256,0x00000099b9,2018-02-20 10:25:57.547058
m3-257,m3-264,0x0000009c92,2018-02-20 10:26:08.661875
m3-221,m3-209,0x0000009cee,2018-02-20 10:26:09.9334
m3-264,m3-232,0x0000009ea1,2018-02-20 10:26:16.571735
m3-244,m3-220,0x0000009edf,2018-02-20 10:26:17.366175
m3-257,m3-253,0x000000a407,2018-02-20 10:26:37.191486
m3-265,m3-260,0x000000a557,2018-02-20 10:26:42.224103
m3-229,m3-225,0x000000a610,2018-02-20 10:26:44.958813
m3-264,m3-244,0x000000a62f,2018-02-20 10:26:45.340974
m3-233,m3-225,0x000000a673,2018-02-20 10:26:46.363195
m3-260,m3-224,0x000000a6b3,2018-02-20 10:26:47.315941
m3-221,m3-212,0x000000a837,2018-02-20 10:26:53.267694
m3-256,m3-244,0x000000aa0c,2018-02-20 10:27:00.196388
m3-265,m3-256,0x000000acdb,2018-02-20 10:27:10.985227
m3-265,m3-261,0x000000acdb,2018-02-20 10:27:11.058844
m3-236,m3-225,0x000000ae1a,2018-02-20 10:27:15.707778
m3-240,m3-212,0x000000af19,2018-02-20 10:27:19.638015
m3-261,m3-252,0x000000b033,2018-02-20 10:27:23.931479
m3-240,m3-220,0x000000b1a5,2018-02-20 10:27:29.372552
m3-257,m3-252,0x000000b267,2018-02-20 10:27:32.215418
m3-245,m3-249,0x000000b347,2018-02-20 10:27:35.574895
m3-241,m3-212,0x000000b663,2018-02-20 10:27:47.57351
m3-244,m3-212,0x000000b854,2018-02-20 10:27:55.047205
m3-256,m3-257,0x000000b8ea,2018-02-20 10:27:57.201761
m3-237,m3-225,0x000000b93b,2018-02-20 10:27:58.455863
m3-237,m3-224,0x000000b93c,2018-02-20 10:27:58.526107
m3-260,m3-240,0x000000bd6f,2018-02-20 10:28:14.516836
m3-264,m3-240,0x000000be5b,2018-02-20 10:28:18.084009
m3-241,m3-228,0x000000c39e,2018-02-20 10:28:38.252953
m3-257,m3-240,0x000000c416,2018-02-20 10:28:40.118709
m3-216,m3-207,0x000000c74b,2018-02-20 10:28:52.413195
m3-252,m3-240,0x000000ce38,2018-02-20 10:29:18.998949
m3-245,m3-212,0x000000ce95,2018-02-20 10:29:20.379287
m3-257,m3-244,0x000000d0c1,2018-02-20 10:29:28.845423
m3-256,m3-232,0x000000d3ed,2018-02-20 10:29:40.928384
m3-252,m3-253,0x000000d5dc,2018-02-20 10:29:48.263465
m3-261,m3-248,0x000000d681,2018-02-20 10:29:50.891883
m3-249,m3-244,0x000000d7d0,2018-02-20 10:29:55.785304
m3-245,m3-224,0x000000d86c,2018-02-20 10:29:58.105584
m3-261,m3-264,0x000000de2b,2018-02-20 10:30:20.142821
m3-261,m3-260,0x000000dfe0,2018-02-20 10:30:26.642306
m3-252,m3-260,0x000000e044,2018-02-20 10:30:28.152571
m3-245,m3-244,0x000000e759,2018-02-20 10:30:55.285488
m3-265,m3-256,0x000000ee10,2018-02-20 10:31:21.049597
m3-264,m3-212,0x0000010f7d,2018-02-20 10:33:29.370451
m3-264,m3-236,0x0000010ff0,2018-02-20 10:33:31.061875
m3-264,m3-240,0x0000011f0b,2018-02-20 10:34:28.988872
m3-257,m3-256,0x00000122ba,2018-02-20 10:34:43.09132
m3-240,m3-212,0x00000127fa,2018-02-20 10:35:03.282158
m3-264,m3-256,0x0000012876,2018-02-20 10:35:05.172251
m3-260,m3-212,0x0000013c61,2018-02-20 10:36:21.623436
m3-260,m3-240,0x0000013e3e,2018-02-20 10:36:28.716782
m3-244,m3-220,0x000001662a,2018-02-20 10:39:01.856074
m3-245,m3-212,0x00000173ab,2018-02-20 10:39:53.621478
m3-264,m3-212,0x000001775d,2018-02-20 10:40:07.788845
m3-244,m3-212,0x0000017b3c,2018-02-20 10:40:22.558857
m3-249,m3-240,0x0000018d52,2018-02-20 10:41:32.04112
m3-248,m3-212,0x0000019b06,2018-02-20 10:42:24.634403
m3-240,m3-220,0x0000019c17,2018-02-20 10:42:28.722842
m3-264,m3-232,0x000001a3ac,2018-02-20 10:42:57.750885
m3-248,m3-232,0x000001ad04,2018-02-20 10:43:33.534814
m3-241,m3-212,0x000001b31f,2018-02-20 10:43:56.998761
m3-240,m3-212,0x000001e6e9,2018-02-20 10:47:15.687421
m3-240,m3-216,0x000001f2f6,2018-02-20 10:48:01.94142
m3-241,m3-245,0x000001ff99,2018-02-20 10:48:50.276665
m3-252,m3-228,0x0000023fa0,2018-02-20 10:52:55.968935
m3-228,m3-212,0x000002a2ee,2018-02-20 10:59:17.03746
m3-237,m3-212,0x000002d081,2018-02-20 11:02:11.694973
m3-261,m3-240,0x000002d6a0,2018-02-20 11:02:35.17651
m3-261,m3-264,0x000002fe1a,2018-02-20 11:05:06.523708
m3-237,m3-232,0x00000309f1,2018-02-20 11:05:52.132277
m3-256,m3-252,0x0000034d5d,2018-02-20 11:10:10.633051
m3-240,m3-212,0x000004357f,2018-02-20 11:25:01.043183
m3-225,m3-217,0x000004624b,2018-02-20 11:27:52.885088
m3-252,m3-212,0x00000468e6,2018-02-20 11:28:18.220075
m3-233,m3-212,0x0000046c66,2018-02-20 11:28:31.663697
m3-248,m3-220,0x0000046f69,2018-02-20 11:28:43.192748
m3-217,m3-207,0x0000047208,2018-02-20 11:28:53.401636
m3-256,m3-240,0x0000047f58,2018-02-20 11:29:44.31707
m3-248,m3-245,0x00000484d1,2018-02-20 11:30:05.444198
m3-252,m3-228,0x00000488f5,2018-02-20 11:30:21.272226
m3-252,m3-245,0x0000049098,2018-02-20 11:30:50.49878
m3-252,m3-240,0x0000049098,2018-02-20 11:30:50.579329
m3-245,m3-228,0x00000496aa,2018-02-20 11:31:13.775122
m3-252,m3-260,0x000004a0de,2018-02-20 11:31:52.846157
m3-240,m3-220,0x000004a588,2018-02-20 11:32:10.940382
m3-232,m3-220,0x000004a921,2018-02-20 11:32:24.725636
m3-244,m3-216,0x000004aa7d,2018-02-20 11:32:29.808401
m3-228,m3-216,0x000004ab12,2018-02-20 11:32:32.031934
m3-241,m3-212,0x000004ae15,2018-02-20 11:32:43.588943
m3-248,m3-216,0x000004b020,2018-02-20 11:32:51.485291
m3-221,m3-217,0x000004b09c,2018-02-20 11:32:53.294187
m3-245,m3-237,0x000004b16d,2018-02-20 11:32:56.368965
m3-241,m3-228,0x000004b3bf,2018-02-20 11:33:05.231384
m3-212,m3-209,0x000004b6ca,2018-02-20 11:33:16.981413
m3-212,m3-232,0x000004b6ca,2018-02-20 11:33:17.062869
m3-233,m3-228,0x000004b80e,2018-02-20 11:33:21.774307
m3-240,m3-224,0x000004bb33,2018-02-20 11:33:33.923797
m3-233,m3-245,0x000004bfb3,2018-02-20 11:33:51.264363
m3-233,m3-236,0x000004bfb3,2018-02-20 11:33:51.371931
m3-233,m3-248,0x000004bfb3,2018-02-20 11:33:51.448018
