node,destination,asn,iana_6top_cmd,requested_cell,time
m3-213,m3-220,0x0000004a3f,6,0,2018-02-13 11:38:08.03918
m3-220,m3-236,0x0000004a88,1,3,2018-02-13 11:38:09.104919
m3-252,m3-232,0x0000004a88,1,1,2018-02-13 11:38:09.115061
m3-224,m3-212,0x0000004a88,1,1,2018-02-13 11:38:09.120671
m3-236,m3-220,0x0000004aab,6,0,2018-02-13 11:38:09.617787
m3-220,m3-236,0x0000004b4f,1,3,2018-02-13 11:38:12.080042
m3-249,m3-232,0x0000004b61,1,3,2018-02-13 11:38:12.348234
m3-212,m3-220,0x0000004b7d,6,0,2018-02-13 11:38:12.764329
m3-252,m3-244,0x0000004b82,6,0,2018-02-13 11:38:12.83916
m3-248,m3-212,0x0000004c16,1,2,2018-02-13 11:38:15.062994
m3-252,m3-232,0x0000004c16,1,1,2018-02-13 11:38:15.086496
m3-236,m3-212,0x0000004c21,1,3,2018-02-13 11:38:16.219935
m3-220,m3-236,0x0000004da4,6,0,2018-02-13 11:38:21.029786
m3-248,m3-212,0x0000004da4,1,2,2018-02-13 11:38:21.036224
m3-236,m3-212,0x0000004daf,1,3,2018-02-13 11:38:21.183363
m3-249,m3-232,0x0000004db6,1,3,2018-02-13 11:38:21.295278
m3-244,m3-236,0x0000004db6,1,3,2018-02-13 11:38:21.297339
m3-253,m3-249,0x0000004f32,1,1,2018-02-13 11:38:26.990878
m3-220,m3-207,0x0000004ff6,6,0,2018-02-13 11:38:29.922952
m3-248,m3-212,0x0000004ff9,1,2,2018-02-13 11:38:29.986821
m3-225,m3-212,0x0000004ff9,1,1,2018-02-13 11:38:30.005682
m3-220,m3-236,0x00000050c0,6,0,2018-02-13 11:38:32.950886
m3-253,m3-249,0x0000005187,1,1,2018-02-13 11:38:35.939339
m3-220,m3-236,0x0000005187,1,3,2018-02-13 11:38:35.946543
m3-213,m3-220,0x00000051c7,6,0,2018-02-13 11:38:36.892006
m3-224,m3-212,0x000000524e,1,1,2018-02-13 11:38:38.943375
m3-225,m3-212,0x000000524e,1,1,2018-02-13 11:38:38.945593
m3-248,m3-212,0x000000524e,1,2,2018-02-13 11:38:38.948385
m3-236,m3-212,0x0000005259,1,3,2018-02-13 11:38:39.077244
m3-253,m3-249,0x0000005315,1,1,2018-02-13 11:38:41.901615
m3-236,m3-212,0x00000053e7,1,3,2018-02-13 11:38:45.031857
m3-252,m3-232,0x00000054a3,1,1,2018-02-13 11:38:47.902929
m3-225,m3-212,0x00000054a3,1,1,2018-02-13 11:38:47.903934
m3-220,m3-236,0x00000054a3,1,3,2018-02-13 11:38:47.918953
m3-248,m3-212,0x00000054a3,1,2,2018-02-13 11:38:47.920085
m3-236,m3-212,0x00000054ae,1,3,2018-02-13 11:38:48.026585
m3-253,m3-249,0x000000556a,1,1,2018-02-13 11:38:50.838825
m3-252,m3-232,0x0000005631,1,1,2018-02-13 11:38:53.824581
m3-236,m3-212,0x000000563c,1,3,2018-02-13 11:38:53.983064
m3-220,m3-236,0x00000056f8,1,3,2018-02-13 11:38:56.816688
m3-253,m3-249,0x00000056f8,1,1,2018-02-13 11:38:56.81813
m3-212,m3-207,0x00000057bf,1,1,2018-02-13 11:38:59.804446
m3-245,m3-212,0x00000057c6,1,1,2018-02-13 11:38:59.961316
m3-225,m3-232,0x0000005834,6,0,2018-02-13 11:39:01.53558
m3-253,m3-249,0x000000594d,1,1,2018-02-13 11:39:05.754285
m3-213,m3-220,0x000000594f,6,0,2018-02-13 11:39:05.778346
m3-245,m3-212,0x0000005954,1,1,2018-02-13 11:39:05.843948
m3-220,m3-236,0x0000005a14,1,3,2018-02-13 11:39:08.769712
m3-229,m3-212,0x0000005a14,1,1,2018-02-13 11:39:08.778134
m3-240,m3-212,0x0000005a14,1,1,2018-02-13 11:39:08.787688
m3-236,m3-212,0x0000005a1f,1,3,2018-02-13 11:39:08.895921
m3-224,m3-220,0x0000005ace,6,0,2018-02-13 11:39:11.521613
m3-253,m3-249,0x0000005adb,1,1,2018-02-13 11:39:11.74391
m3-245,m3-212,0x0000005ae2,1,1,2018-02-13 11:39:11.830127
m3-229,m3-212,0x0000005ba2,1,1,2018-02-13 11:39:14.691042
m3-240,m3-212,0x0000005c69,1,1,2018-02-13 11:39:17.69388
m3-253,m3-249,0x0000005c69,1,1,2018-02-13 11:39:17.698189
m3-245,m3-212,0x0000005c70,1,1,2018-02-13 11:39:17.78132
m3-236,m3-212,0x0000005d3b,1,3,2018-02-13 11:39:20.819386
m3-221,m3-213,0x0000005df7,1,1,2018-02-13 11:39:23.636735
m3-236,m3-212,0x0000005e02,1,3,2018-02-13 11:39:23.804026
m3-253,m3-249,0x0000005ebe,1,1,2018-02-13 11:39:26.618042
m3-220,m3-207,0x0000005ec0,6,0,2018-02-13 11:39:26.649066
m3-245,m3-212,0x0000005ec5,1,1,2018-02-13 11:39:26.728216
m3-240,m3-237,0x0000005ed9,6,0,2018-02-13 11:39:27.025082
m3-241,m3-236,0x0000005f85,1,1,2018-02-13 11:39:29.616137
m3-220,m3-236,0x0000005f85,1,3,2018-02-13 11:39:29.631496
m3-236,m3-212,0x0000005f90,1,3,2018-02-13 11:39:29.767049
m3-236,m3-212,0x0000006057,1,3,2018-02-13 11:39:32.741971
m3-213,m3-207,0x0000006113,1,1,2018-02-13 11:39:35.609371
m3-229,m3-212,0x0000006113,1,1,2018-02-13 11:39:35.615265
m3-253,m3-249,0x0000006113,1,1,2018-02-13 11:39:35.622485
m3-229,m3-212,0x00000061da,1,1,2018-02-13 11:39:38.560944
m3-240,m3-212,0x00000061da,1,1,2018-02-13 11:39:38.567446
m3-221,m3-220,0x000000628b,6,0,2018-02-13 11:39:41.198723
m3-212,m3-207,0x00000062a1,1,1,2018-02-13 11:39:41.555261
m3-220,m3-236,0x00000062a1,1,3,2018-02-13 11:39:41.564776
m3-220,m3-236,0x0000006368,1,3,2018-02-13 11:39:44.535309
m3-212,m3-207,0x0000006368,1,1,2018-02-13 11:39:44.549145
m3-236,m3-212,0x0000006373,1,3,2018-02-13 11:39:44.673023
m3-236,m3-212,0x0000006501,1,3,2018-02-13 11:39:50.638134
m3-228,m3-212,0x00000065bd,1,1,2018-02-13 11:39:53.483719
m3-249,m3-232,0x00000065cf,1,3,2018-02-13 11:39:53.723645
m3-216,m3-207,0x0000006684,1,1,2018-02-13 11:39:56.43734
m3-229,m3-237,0x0000006721,6,0,2018-02-13 11:39:58.794168
m3-217,m3-207,0x000000674b,1,1,2018-02-13 11:39:59.419293
m3-249,m3-232,0x000000675d,1,3,2018-02-13 11:39:59.690224
m3-216,m3-207,0x0000006812,1,1,2018-02-13 11:40:02.404273
m3-241,m3-220,0x0000006838,6,0,2018-02-13 11:40:02.968467
m3-213,m3-220,0x000000685f,6,0,2018-02-13 11:40:03.551691
m3-253,m3-249,0x00000068d9,1,1,2018-02-13 11:40:05.399577
m3-241,m3-236,0x00000068d9,1,1,2018-02-13 11:40:05.408198
m3-236,m3-212,0x00000068e4,1,3,2018-02-13 11:40:05.547462
m3-221,m3-220,0x0000006a30,6,0,2018-02-13 11:40:10.54125
m3-228,m3-232,0x0000006a74,6,0,2018-02-13 11:40:11.547344
m3-249,m3-244,0x0000006a76,6,0,2018-02-13 11:40:11.573438
m3-241,m3-236,0x0000006b2e,1,1,2018-02-13 11:40:14.343185
m3-236,m3-212,0x0000006b39,1,3,2018-02-13 11:40:14.49129
m3-249,m3-232,0x0000006b40,1,3,2018-02-13 11:40:14.597253
m3-220,m3-236,0x0000006bf5,1,3,2018-02-13 11:40:17.311003
m3-241,m3-236,0x0000006cbc,6,0,2018-02-13 11:40:20.322153
m3-217,m3-207,0x0000006cbc,1,1,2018-02-13 11:40:20.331581
m3-228,m3-212,0x0000006cbc,1,1,2018-02-13 11:40:20.334725
m3-249,m3-232,0x0000006cce,1,3,2018-02-13 11:40:20.562225
m3-241,m3-236,0x0000006d83,1,1,2018-02-13 11:40:23.290698
m3-236,m3-212,0x0000006e55,1,3,2018-02-13 11:40:26.417877
m3-212,m3-207,0x0000006e61,1,3,2018-02-13 11:40:26.615425
m3-216,m3-236,0x0000006ead,6,0,2018-02-13 11:40:27.74371
m3-212,m3-207,0x0000006f28,1,1,2018-02-13 11:40:29.63362
m3-217,m3-220,0x0000006f8a,6,0,2018-02-13 11:40:31.049361
m3-236,m3-212,0x0000006fe3,1,3,2018-02-13 11:40:32.380685
m3-253,m3-248,0x0000007086,6,0,2018-02-13 11:40:34.834447
m3-224,m3-212,0x000000709f,1,1,2018-02-13 11:40:35.207138
m3-241,m3-236,0x000000709f,1,1,2018-02-13 11:40:35.210648
m3-224,m3-212,0x0000007166,1,1,2018-02-13 11:40:38.181371
m3-249,m3-244,0x000000721f,6,0,2018-02-13 11:40:40.952863
m3-236,m3-212,0x0000007238,6,0,2018-02-13 11:40:41.329
m3-241,m3-236,0x00000072f4,1,1,2018-02-13 11:40:44.163352
m3-236,m3-212,0x00000072ff,6,0,2018-02-13 11:40:44.310918
m3-236,m3-212,0x00000073c6,6,0,2018-02-13 11:40:47.292234
m3-241,m3-236,0x0000007482,1,1,2018-02-13 11:40:50.117009
m3-249,m3-232,0x0000007482,1,2,2018-02-13 11:40:50.118068
m3-232,m3-213,0x0000007550,1,3,2018-02-13 11:40:53.194194
m3-224,m3-212,0x0000007610,1,1,2018-02-13 11:40:56.08119
m3-249,m3-232,0x0000007610,1,2,2018-02-13 11:40:56.085676
m3-236,m3-212,0x000000761b,6,0,2018-02-13 11:40:56.236603
m3-216,m3-236,0x0000007624,6,0,2018-02-13 11:40:56.371068
m3-212,m3-207,0x00000076ee,1,1,2018-02-13 11:40:59.415087
m3-217,m3-220,0x0000007710,6,0,2018-02-13 11:40:59.910128
m3-241,m3-220,0x0000007744,6,0,2018-02-13 11:41:00.687949
m3-253,m3-248,0x0000007817,6,0,2018-02-13 11:41:03.849682
m3-220,m3-236,0x0000007865,1,3,2018-02-13 11:41:05.020249
m3-224,m3-220,0x000000795b,6,0,2018-02-13 11:41:08.703416
m3-220,m3-236,0x00000079f3,1,3,2018-02-13 11:41:10.986033
m3-236,m3-212,0x00000079fe,6,0,2018-02-13 11:41:11.145616
m3-236,m3-212,0x0000007ac5,6,0,2018-02-13 11:41:14.124704
m3-220,m3-236,0x0000007b81,1,3,2018-02-13 11:41:16.943087
m3-220,m3-207,0x0000007c53,6,0,2018-02-13 11:41:20.093367
m3-216,m3-236,0x0000007d9a,6,0,2018-02-13 11:41:24.990032
m3-220,m3-236,0x0000007dd6,1,3,2018-02-13 11:41:25.901249
m3-236,m3-212,0x0000007de1,6,0,2018-02-13 11:41:26.051339
m3-217,m3-220,0x0000007e96,6,0,2018-02-13 11:41:28.766146
m3-249,m3-232,0x0000007e9d,1,2,2018-02-13 11:41:28.86985
m3-241,m3-220,0x0000007eca,6,0,2018-02-13 11:41:29.542748
m3-232,m3-236,0x0000007eed,6,0,2018-02-13 11:41:30.068129
m3-253,m3-248,0x0000007fa9,6,0,2018-02-13 11:41:32.889472
m3-245,m3-240,0x000000802b,1,1,2018-02-13 11:41:34.837235
m3-236,m3-212,0x0000008036,6,0,2018-02-13 11:41:35.002391
